SampleID	SampleID-sequencing-centre	name-sequencing-centre	depth	core	station
68_BH1	428902_1	K7	68	BH1	68_BH1
86_BH1	443707_2	K9	86	BH1	86_BH1
106_BH1	428902_3	K11	106	BH1	106_BH1
166_BH1	428902_4	K15	166	BH1	166_BH1
186_BH1	428902_5	K16	186	BH1	186_BH1
259_BH1	428902_6	K21	259	BH1	259_BH1
23_BH1	465926_1_926	K2	23	BH1	23_BH1
56_BH1	465926_2_926	K6	56	BH1	56_BH1
295_BH1	465926_3_926	K23	295	BH1	295_BH1
305_BH1	465926_4_926	K24	305	BH1	305_BH1
50_BH6	484086_N1	N1	50	BH6	50_BH6
162_BH6	484086_N10	N10	162	BH6	162_BH6
198_BH6	484086_N14	N14	198	BH6	198_BH6
100_BH6	484086_N2	N2	100	BH6	100_BH6
285_BH6	484086_N27	N27	285	BH6	285_BH6
345_BH6	484086_N32	N32	345	BH6	345_BH6
535_BH6	484086_N49	N49	535	BH6	535_BH6
564_BH6	484086_N52	N52	564	BH6	564_BH6
655_BH6	484086_N58	N58	655	BH6	655_BH6
695_BH6	484086_N61	N61	695	BH6	695_BH6
711_BH6	484086_N62	N62	711	BH6	711_BH6
